"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"1",2,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221011_193000.WAV","Big Bog_AM1",2022-10-11,2022-10-11 19:30:00,0,1.5,-2,"Not a frog",0.978,0.001,0.018,0.001,0,0,0,0.001,"[0.978 0.    0.    0.001 0.001 0.    0.    0.018 0.001 0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"2",31,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221012_204500.WAV","Big Bog_AM1",2022-10-12,2022-10-12 20:45:00,0,1.5,-2,"Not a frog",0.956,0.016,0.005,0.002,0,0.004,0,0.015,"[0.956 0.    0.    0.016 0.015 0.    0.    0.005 0.002 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"3",61,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221013_221500.WAV","Big Bog_AM1",2022-10-13,2022-10-13 22:15:00,0,1.5,-2,"Not a frog",0.976,0.006,0.005,0.002,0,0.004,0,0.007,"[0.976 0.    0.    0.006 0.007 0.    0.    0.005 0.002 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"4",73,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221014_191500.WAV","Big Bog_AM1",2022-10-14,2022-10-14 19:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"5",99,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221015_194500.WAV","Big Bog_AM1",2022-10-15,2022-10-15 19:45:00,18,19.5,13131,"Eastern Sign-bearing Froglet",0.597,0,0.596,0.002,0.001,0,0,0.002,"[0.388 0.    0.    0.    0.002 0.    0.    0.596 0.002 0.001 0.    0.
 0.    0.    0.    0.001 0.008]"
"6",120,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221016_190000.WAV","Big Bog_AM1",2022-10-16,2022-10-16 19:00:00,0,1.5,-2,"Not a frog",0.997,0.001,0,0,0,0.001,0,0.001,"[0.997 0.    0.    0.001 0.001 0.    0.    0.    0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"7",160,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221017_230000.WAV","Big Bog_AM1",2022-10-17,2022-10-17 23:00:00,23,24.5,13131,"Eastern Sign-bearing Froglet",0.5,0.001,0.5,0.001,0,0.001,0,0.002,"[0.495 0.    0.    0.001 0.002 0.    0.    0.5   0.001 0.    0.    0.001
 0.    0.    0.    0.    0.001]"
"8",184,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221018_230000.WAV","Big Bog_AM1",2022-10-18,2022-10-18 23:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0.001,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"9",198,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221019_203000.WAV","Big Bog_AM1",2022-10-19,2022-10-19 20:30:00,0,1.5,-2,"Not a frog",0.925,0.001,0.047,0.001,0.021,0,0,0.001,"[0.925 0.    0.001 0.001 0.001 0.    0.    0.047 0.001 0.    0.    0.
 0.    0.    0.002 0.021 0.   ]"
"10",216,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221020_190000.WAV","Big Bog_AM1",2022-10-20,2022-10-20 19:00:00,0,1.5,-2,"Not a frog",0.992,0.001,0.002,0.001,0,0.002,0,0.002,"[0.992 0.    0.    0.001 0.002 0.    0.    0.002 0.001 0.    0.    0.002
 0.    0.    0.    0.    0.   ]"
