"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"1",0,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221011_190000.WAV","Big Bog_AM1",2022-10-11,2022-10-11 19:00:00,29,30.5,13131,"Eastern Sign-bearing Froglet",0.56,0,0.56,0.007,0,0,0,0.003,"[0.427 0.    0.    0.    0.003 0.    0.    0.56  0.007 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"2",40,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221012_230000.WAV","Big Bog_AM1",2022-10-12,2022-10-12 23:00:00,0,1.5,-2,"Not a frog",0.952,0.002,0.002,0.002,0.039,0,0,0.001,"[0.952 0.    0.001 0.002 0.001 0.    0.    0.002 0.002 0.    0.    0.
 0.    0.    0.    0.039 0.001]"
"3",62,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221013_223000.WAV","Big Bog_AM1",2022-10-13,2022-10-13 22:30:00,30,31.5,13131,"Eastern Sign-bearing Froglet",0.662,0,0.662,0.012,0,0,0,0.001,"[0.325 0.    0.    0.    0.001 0.    0.    0.662 0.012 0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"4",80,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221014_210000.WAV","Big Bog_AM1",2022-10-14,2022-10-14 21:00:00,35,36.5,13131,"Eastern Sign-bearing Froglet",0.587,0,0.588,0.003,0.002,0,0,0.001,"[0.404 0.    0.    0.    0.001 0.    0.    0.588 0.003 0.001 0.    0.
 0.    0.    0.    0.002 0.001]"
"5",99,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221015_194500.WAV","Big Bog_AM1",2022-10-15,2022-10-15 19:45:00,43,44.5,13131,"Eastern Sign-bearing Froglet",0.835,0,0.835,0.005,0,0,0,0.005,"[0.154 0.    0.    0.    0.005 0.    0.    0.835 0.005 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"6",128,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221016_210000.WAV","Big Bog_AM1",2022-10-16,2022-10-16 21:00:00,28,29.5,13131,"Eastern Sign-bearing Froglet",0.604,0,0.604,0.008,0,0,0,0.003,"[0.382 0.    0.    0.    0.003 0.    0.    0.604 0.008 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"7",152,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221017_210000.WAV","Big Bog_AM1",2022-10-17,2022-10-17 21:00:00,16,17.5,13131,"Eastern Sign-bearing Froglet",0.71,0,0.71,0.007,0,0,0,0.004,"[0.278 0.    0.    0.    0.004 0.    0.    0.71  0.007 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"8",171,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221018_194500.WAV","Big Bog_AM1",2022-10-18,2022-10-18 19:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"9",197,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221019_201500.WAV","Big Bog_AM1",2022-10-19,2022-10-19 20:15:00,0,1.5,13131,"Eastern Sign-bearing Froglet",0.53,0,0.53,0.011,0,0,0,0.002,"[0.456 0.    0.    0.    0.002 0.    0.    0.53  0.011 0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"10",225,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221020_211500.WAV","Big Bog_AM1",2022-10-20,2022-10-20 21:15:00,45,46.5,13131,"Eastern Sign-bearing Froglet",0.517,0,0.516,0.006,0.001,0,0,0.001,"[0.471 0.    0.    0.    0.001 0.    0.    0.516 0.006 0.    0.    0.
 0.    0.    0.001 0.001 0.002]"
