"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"1",17,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221011_231500.WAV","Big Bog_AM1",2022-10-11,2022-10-11 23:15:00,15,16.5,13131,"Eastern Sign-bearing Froglet",0.652,0.001,0.652,0.001,0.001,0.001,0,0.003,"[0.34  0.    0.    0.001 0.003 0.    0.    0.652 0.001 0.    0.    0.001
 0.    0.    0.    0.001 0.002]"
"2",40,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221012_230000.WAV","Big Bog_AM1",2022-10-12,2022-10-12 23:00:00,0,1.5,-2,"Not a frog",0.952,0.002,0.002,0.002,0.039,0,0,0.001,"[0.952 0.    0.001 0.002 0.001 0.    0.    0.002 0.002 0.    0.    0.
 0.    0.    0.    0.039 0.001]"
"3",55,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221013_204500.WAV","Big Bog_AM1",2022-10-13,2022-10-13 20:45:00,0,1.5,-2,"Not a frog",0.985,0,0,0,0.007,0,0,0,"[0.986 0.    0.008 0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.007 0.   ]"
"4",80,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221014_210000.WAV","Big Bog_AM1",2022-10-14,2022-10-14 21:00:00,35,36.5,13131,"Eastern Sign-bearing Froglet",0.587,0,0.588,0.003,0.002,0,0,0.001,"[0.404 0.    0.    0.    0.001 0.    0.    0.588 0.003 0.001 0.    0.
 0.    0.    0.    0.002 0.001]"
"5",99,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221015_194500.WAV","Big Bog_AM1",2022-10-15,2022-10-15 19:45:00,18,19.5,13131,"Eastern Sign-bearing Froglet",0.597,0,0.596,0.002,0.001,0,0,0.002,"[0.388 0.    0.    0.    0.002 0.    0.    0.596 0.002 0.001 0.    0.
 0.    0.    0.    0.001 0.008]"
"6",132,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221016_220000.WAV","Big Bog_AM1",2022-10-16,2022-10-16 22:00:00,12,13.5,13131,"Eastern Sign-bearing Froglet",0.496,0,0.496,0.001,0.009,0,0,0.001,"[0.482 0.    0.    0.    0.001 0.    0.    0.496 0.001 0.001 0.    0.
 0.    0.    0.    0.009 0.01 ]"
"7",152,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221017_210000.WAV","Big Bog_AM1",2022-10-17,2022-10-17 21:00:00,33,34.5,13131,"Eastern Sign-bearing Froglet",0.534,0,0.534,0.001,0.195,0,0,0.002,"[0.262 0.    0.    0.    0.002 0.    0.    0.534 0.001 0.    0.    0.
 0.    0.    0.004 0.195 0.002]"
"8",168,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221018_190000.WAV","Big Bog_AM1",2022-10-18,2022-10-18 19:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"9",198,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221019_203000.WAV","Big Bog_AM1",2022-10-19,2022-10-19 20:30:00,0,1.5,-2,"Not a frog",0.925,0.001,0.047,0.001,0.021,0,0,0.001,"[0.925 0.    0.001 0.001 0.001 0.    0.    0.047 0.001 0.    0.    0.
 0.    0.    0.002 0.021 0.   ]"
"10",225,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221020_211500.WAV","Big Bog_AM1",2022-10-20,2022-10-20 21:15:00,26,27.5,13131,"Eastern Sign-bearing Froglet",0.624,0,0.624,0.002,0.002,0,0,0.118,"[0.253 0.    0.    0.    0.118 0.    0.    0.624 0.002 0.    0.    0.
 0.    0.    0.    0.002 0.002]"
"11",247,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221021_204500.WAV","Big Bog_AM1",2022-10-21,2022-10-21 20:45:00,14,15.5,13131,"Eastern Sign-bearing Froglet",0.574,0,0.574,0.001,0.042,0,0,0.002,"[0.378 0.    0.    0.    0.002 0.    0.    0.574 0.001 0.    0.    0.
 0.    0.    0.    0.042 0.002]"
"12",267,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221022_194500.WAV","Big Bog_AM1",2022-10-22,2022-10-22 19:45:00,0,1.5,-2,"Not a frog",0.993,0,0,0,0.006,0,0,0,"[0.993 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.006 0.   ]"
"13",303,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221023_224500.WAV","Big Bog_AM1",2022-10-23,2022-10-23 22:45:00,58,59.5,13131,"Eastern Sign-bearing Froglet",0.851,0,0.85,0.001,0.021,0,0,0.001,"[0.118 0.    0.    0.    0.001 0.    0.    0.85  0.001 0.    0.    0.
 0.    0.    0.    0.021 0.008]"
"14",308,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221024_000000.WAV","Big Bog_AM1",2022-10-24,2022-10-24,0,1.5,-2,"Not a frog",0.989,0,0.003,0.001,0.001,0,0,0.001,"[0.99  0.    0.    0.    0.001 0.    0.    0.003 0.001 0.    0.    0.
 0.005 0.    0.    0.001 0.   ]"
"15",337,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221025_191500.WAV","Big Bog_AM1",2022-10-25,2022-10-25 19:15:00,0,1.5,-2,"Not a frog",0.999,0,0.001,0,0.001,0,0,0,"[0.998 0.    0.    0.    0.    0.    0.    0.001 0.    0.    0.    0.
 0.    0.    0.    0.001 0.   ]"
"16",375,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221026_224500.WAV","Big Bog_AM1",2022-10-26,2022-10-26 22:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
