"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"1",17,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221011_231500.WAV","Big Bog_AM1",2022-10-11,2022-10-11 23:15:00,15,16.5,13131,"Eastern Sign-bearing Froglet",0.652,0.001,0.652,0.001,0.001,0.001,0,0.003,"[0.34  0.    0.    0.001 0.003 0.    0.    0.652 0.001 0.    0.    0.001
 0.    0.    0.    0.001 0.002]"
"2",29,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221012_201500.WAV","Big Bog_AM1",2022-10-12,2022-10-12 20:15:00,0,1.5,-2,"Not a frog",0.981,0.004,0.003,0.001,0,0.004,0.001,0.006,"[0.982 0.    0.    0.004 0.006 0.    0.    0.003 0.001 0.    0.    0.004
 0.    0.001 0.    0.    0.   ]"
"3",61,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221013_221500.WAV","Big Bog_AM1",2022-10-13,2022-10-13 22:15:00,0,1.5,-2,"Not a frog",0.976,0.006,0.005,0.002,0,0.004,0,0.007,"[0.976 0.    0.    0.006 0.007 0.    0.    0.005 0.002 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"4",79,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221014_204500.WAV","Big Bog_AM1",2022-10-14,2022-10-14 20:45:00,0,1.5,-2,"Not a frog",0.997,0,0,0,0.001,0,0,0,"[0.997 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.001 0.   ]"
"5",95,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221015_004500.WAV","Big Bog_AM1",2022-10-15,2022-10-15 00:45:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"6",120,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221016_190000.WAV","Big Bog_AM1",2022-10-16,2022-10-16 19:00:00,0,1.5,-2,"Not a frog",0.997,0.001,0,0,0,0.001,0,0.001,"[0.997 0.    0.    0.001 0.001 0.    0.    0.    0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"7",160,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221017_230000.WAV","Big Bog_AM1",2022-10-17,2022-10-17 23:00:00,23,24.5,13131,"Eastern Sign-bearing Froglet",0.5,0.001,0.5,0.001,0,0.001,0,0.002,"[0.495 0.    0.    0.001 0.002 0.    0.    0.5   0.001 0.    0.    0.001
 0.    0.    0.    0.    0.001]"
"8",165,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221018_001500.WAV","Big Bog_AM1",2022-10-18,2022-10-18 00:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"9",206,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221019_223000.WAV","Big Bog_AM1",2022-10-19,2022-10-19 22:30:00,20,21.5,13131,"Eastern Sign-bearing Froglet",0.506,0,0.506,0.007,0.012,0.003,0,0.004,"[0.346 0.    0.002 0.    0.004 0.    0.    0.506 0.007 0.    0.    0.003
 0.    0.    0.001 0.012 0.119]"
"10",216,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221020_190000.WAV","Big Bog_AM1",2022-10-20,2022-10-20 19:00:00,0,1.5,-2,"Not a frog",0.992,0.001,0.002,0.001,0,0.002,0,0.002,"[0.992 0.    0.    0.001 0.002 0.    0.    0.002 0.001 0.    0.    0.002
 0.    0.    0.    0.    0.   ]"
