"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"1",9,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221011_211500.WAV","Big Bog_AM1",2022-10-11,2022-10-11 21:15:00,22,23.5,13131,"Eastern Sign-bearing Froglet",0.525,0,0.525,0.003,0.001,0.001,0.001,0.009,"[0.458 0.    0.    0.    0.009 0.    0.    0.525 0.003 0.001 0.    0.001
 0.    0.001 0.    0.001 0.003]"
"2",29,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221012_201500.WAV","Big Bog_AM1",2022-10-12,2022-10-12 20:15:00,0,1.5,-2,"Not a frog",0.981,0.004,0.003,0.001,0,0.004,0.001,0.006,"[0.982 0.    0.    0.004 0.006 0.    0.    0.003 0.001 0.    0.    0.004
 0.    0.001 0.    0.    0.   ]"
"3",66,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221013_233000.WAV","Big Bog_AM1",2022-10-13,2022-10-13 23:30:00,20,21.5,13131,"Eastern Sign-bearing Froglet",0.827,0.001,0.827,0.003,0,0.001,0.001,0.006,"[0.16  0.    0.    0.001 0.006 0.    0.    0.827 0.003 0.001 0.    0.001
 0.    0.001 0.    0.    0.001]"
"4",84,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221014_220000.WAV","Big Bog_AM1",2022-10-14,2022-10-14 22:00:00,0,1.5,-2,"Not a frog",0.993,0,0,0,0.001,0,0.005,0,"[0.993 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.005 0.    0.001 0.   ]"
"5",97,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221015_191500.WAV","Big Bog_AM1",2022-10-15,2022-10-15 19:15:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0.001,0,"[0.998 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.001 0.    0.    0.   ]"
"6",119,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221016_004500.WAV","Big Bog_AM1",2022-10-16,2022-10-16 00:45:00,0,1.5,-2,"Not a frog",0.995,0,0,0,0.001,0,0.003,0,"[0.994 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.003 0.    0.001 0.   ]"
"7",147,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221017_194500.WAV","Big Bog_AM1",2022-10-17,2022-10-17 19:45:00,0,1.5,-2,"Not a frog",0.989,0,0.001,0,0,0,0.01,0,"[0.99  0.    0.    0.    0.    0.    0.    0.001 0.    0.    0.    0.
 0.    0.01  0.    0.    0.   ]"
"8",179,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221018_214500.WAV","Big Bog_AM1",2022-10-18,2022-10-18 21:45:00,0,1.5,-2,"Not a frog",0.994,0,0,0,0,0,0.005,0,"[0.994 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.005 0.    0.    0.   ]"
"9",211,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221019_234500.WAV","Big Bog_AM1",2022-10-19,2022-10-19 23:45:00,0,1.5,-2,"Not a frog",0.981,0,0,0,0,0,0.019,0,"[0.982 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.019 0.    0.    0.   ]"
"10",226,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221020_213000.WAV","Big Bog_AM1",2022-10-20,2022-10-20 21:30:00,52,53.5,13131,"Eastern Sign-bearing Froglet",0.511,0,0.511,0.001,0,0,0.001,0.002,"[0.482 0.    0.    0.    0.002 0.    0.    0.511 0.001 0.    0.    0.
 0.    0.001 0.    0.    0.001]"
"11",250,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221021_213000.WAV","Big Bog_AM1",2022-10-21,2022-10-21 21:30:00,39,40.5,13131,"Eastern Sign-bearing Froglet",0.704,0,0.704,0.001,0.005,0,0.002,0.001,"[0.28  0.    0.    0.    0.001 0.    0.    0.704 0.001 0.    0.    0.
 0.    0.002 0.    0.005 0.006]"
"12",283,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221022_234500.WAV","Big Bog_AM1",2022-10-22,2022-10-22 23:45:00,25,26.5,13131,"Eastern Sign-bearing Froglet",0.755,0,0.755,0.002,0,0,0,0.003,"[0.228 0.    0.    0.    0.003 0.    0.    0.755 0.002 0.    0.    0.
 0.    0.    0.    0.    0.011]"
