"","FileId","Filename","Site","Date","DateTime","Orig_Start","Orig_End","Observed_TaxonId","Observed_Label","Probability","Barking Marsh Frog","Eastern Sign-bearing Froglet","Common Froglet","Common Spadefoot Toad","Peron's Tree Frog","Pobblebonk Frog","Spotted Marsh Frog (race unknown)","[    -2  13033  13042  13059  13063  13120  13125  13131  13134  13135
  13182  13204  13936  63913  13207  13086 525739]"
"1",0,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221011_190000.WAV","Big Bog_AM1",2022-10-11,2022-10-11 19:00:00,39,40.5,13131,"Eastern Sign-bearing Froglet",0.825,0,0.825,0,0,0,0,0.017,"[0.156 0.    0.    0.    0.017 0.    0.    0.825 0.    0.    0.    0.
 0.    0.    0.    0.    0.002]"
"2",31,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221012_204500.WAV","Big Bog_AM1",2022-10-12,2022-10-12 20:45:00,0,1.5,-2,"Not a frog",0.956,0.016,0.005,0.002,0,0.004,0,0.015,"[0.956 0.    0.    0.016 0.015 0.    0.    0.005 0.002 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"3",62,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221013_223000.WAV","Big Bog_AM1",2022-10-13,2022-10-13 22:30:00,51,52.5,13131,"Eastern Sign-bearing Froglet",0.712,0,0.712,0.001,0,0,0,0.007,"[0.278 0.    0.    0.    0.007 0.    0.    0.712 0.001 0.    0.    0.
 0.    0.    0.    0.    0.001]"
"4",80,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221014_210000.WAV","Big Bog_AM1",2022-10-14,2022-10-14 21:00:00,35,36.5,13131,"Eastern Sign-bearing Froglet",0.587,0,0.588,0.003,0.002,0,0,0.001,"[0.404 0.    0.    0.    0.001 0.    0.    0.588 0.003 0.001 0.    0.
 0.    0.    0.    0.002 0.001]"
"5",99,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221015_194500.WAV","Big Bog_AM1",2022-10-15,2022-10-15 19:45:00,14,15.5,13131,"Eastern Sign-bearing Froglet",0.552,0,0.552,0.003,0,0,0,0.011,"[0.426 0.    0.    0.    0.011 0.    0.    0.552 0.003 0.    0.    0.
 0.    0.    0.    0.    0.007]"
"6",132,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221016_220000.WAV","Big Bog_AM1",2022-10-16,2022-10-16 22:00:00,5,6.5,13131,"Eastern Sign-bearing Froglet",0.696,0,0.696,0.001,0,0,0,0.024,"[0.275 0.    0.    0.    0.024 0.    0.    0.696 0.001 0.    0.    0.
 0.    0.    0.    0.    0.003]"
"7",152,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221017_210000.WAV","Big Bog_AM1",2022-10-17,2022-10-17 21:00:00,29,30.5,13131,"Eastern Sign-bearing Froglet",0.726,0,0.726,0.001,0.001,0,0.001,0.038,"[0.229 0.    0.    0.    0.038 0.    0.    0.726 0.001 0.    0.    0.
 0.    0.001 0.    0.001 0.004]"
"8",176,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221018_210000.WAV","Big Bog_AM1",2022-10-18,2022-10-18 21:00:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0.001,"[0.998 0.    0.    0.    0.001 0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"9",203,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221019_214500.WAV","Big Bog_AM1",2022-10-19,2022-10-19 21:45:00,10,11.5,13131,"Eastern Sign-bearing Froglet",0.704,0,0.704,0.001,0,0,0,0.033,"[0.259 0.    0.    0.    0.033 0.    0.    0.704 0.001 0.    0.    0.
 0.    0.    0.    0.    0.002]"
"10",225,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221020_211500.WAV","Big Bog_AM1",2022-10-20,2022-10-20 21:15:00,26,27.5,13131,"Eastern Sign-bearing Froglet",0.624,0,0.624,0.002,0.002,0,0,0.118,"[0.253 0.    0.    0.    0.118 0.    0.    0.624 0.002 0.    0.    0.
 0.    0.    0.    0.002 0.002]"
"11",249,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221021_211500.WAV","Big Bog_AM1",2022-10-21,2022-10-21 21:15:00,18,19.5,13131,"Eastern Sign-bearing Froglet",0.548,0,0.548,0.001,0,0,0.001,0.025,"[0.42  0.001 0.    0.    0.025 0.    0.    0.548 0.001 0.001 0.    0.
 0.    0.001 0.    0.    0.003]"
"12",276,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221022_220000.WAV","Big Bog_AM1",2022-10-22,2022-10-22 22:00:00,41,42.5,13131,"Eastern Sign-bearing Froglet",0.571,0,0.572,0.003,0,0.001,0,0.018,"[0.404 0.    0.    0.    0.018 0.    0.    0.572 0.003 0.    0.    0.001
 0.    0.    0.    0.    0.003]"
"13",303,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221023_224500.WAV","Big Bog_AM1",2022-10-23,2022-10-23 22:45:00,10,11.5,13131,"Eastern Sign-bearing Froglet",0.875,0,0.875,0.003,0,0.001,0,0.017,"[0.085 0.    0.    0.    0.017 0.    0.    0.875 0.003 0.    0.    0.001
 0.    0.    0.    0.    0.019]"
"14",308,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221024_000000.WAV","Big Bog_AM1",2022-10-24,2022-10-24,0,1.5,-2,"Not a frog",0.989,0,0.003,0.001,0.001,0,0,0.001,"[0.99  0.    0.    0.    0.001 0.    0.    0.003 0.001 0.    0.    0.
 0.005 0.    0.    0.001 0.   ]"
"15",348,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221025_220000.WAV","Big Bog_AM1",2022-10-25,2022-10-25 22:00:00,0,1.5,-2,"Not a frog",0.944,0,0.029,0.001,0.001,0,0,0.024,"[0.944 0.    0.    0.    0.024 0.    0.    0.029 0.001 0.    0.    0.
 0.    0.    0.    0.001 0.   ]"
"16",360,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221026_190000.WAV","Big Bog_AM1",2022-10-26,2022-10-26 19:00:00,0,1.5,-2,"Not a frog",0.977,0.004,0.006,0.002,0,0.006,0,0.005,"[0.976 0.    0.    0.004 0.005 0.    0.    0.006 0.002 0.    0.    0.006
 0.    0.    0.    0.    0.   ]"
"17",390,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221027_203000.WAV","Big Bog_AM1",2022-10-27,2022-10-27 20:30:00,0,1.5,-2,"Not a frog",0.978,0.006,0.005,0.002,0,0.004,0,0.006,"[0.978 0.    0.    0.006 0.006 0.    0.    0.005 0.002 0.    0.    0.004
 0.    0.    0.    0.    0.   ]"
"18",413,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221028_201500.WAV","Big Bog_AM1",2022-10-28,2022-10-28 20:15:00,0,1.5,-2,"Not a frog",0.991,0.001,0.001,0.001,0.003,0.002,0,0.002,"[0.99  0.    0.    0.001 0.002 0.    0.    0.001 0.001 0.    0.    0.002
 0.    0.    0.    0.003 0.   ]"
"19",438,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221029_203000.WAV","Big Bog_AM1",2022-10-29,2022-10-29 20:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
"20",472,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221030_230000.WAV","Big Bog_AM1",2022-10-30,2022-10-30 23:00:00,0,1.5,-2,"Not a frog",0.997,0,0,0,0,0.001,0,0.001,"[0.997 0.    0.    0.    0.001 0.    0.    0.    0.    0.    0.    0.001
 0.    0.    0.    0.    0.   ]"
"21",493,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221031_221500.WAV","Big Bog_AM1",2022-10-31,2022-10-31 22:15:00,13,14.5,13131,"Eastern Sign-bearing Froglet",0.548,0,0.548,0.001,0,0,0,0.165,"[0.284 0.    0.    0.    0.165 0.    0.    0.548 0.001 0.    0.    0.
 0.    0.    0.    0.    0.002]"
"22",500,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221101_000000.WAV","Big Bog_AM1",2022-11-01,2022-11-01,13,14.5,13131,"Eastern Sign-bearing Froglet",0.744,0,0.744,0.001,0,0,0,0.038,"[0.216 0.    0.    0.    0.038 0.    0.    0.744 0.001 0.    0.    0.
 0.    0.    0.    0.    0.002]"
"23",532,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221102_200000.WAV","Big Bog_AM1",2022-11-02,2022-11-02 20:00:00,0,1.5,-2,"Not a frog",0.826,0,0,0,0,0.001,0,0.158,"[0.826 0.    0.    0.    0.158 0.    0.    0.    0.    0.    0.    0.001
 0.    0.    0.    0.    0.014]"
"24",553,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221103_191500.WAV","Big Bog_AM1",2022-11-03,2022-11-03 19:15:00,0,1.5,-2,"Not a frog",0.993,0.001,0.002,0.001,0,0.002,0,0.002,"[0.993 0.    0.    0.001 0.002 0.    0.    0.002 0.001 0.    0.    0.002
 0.    0.    0.    0.    0.   ]"
"25",590,"H:/AudioMoth_Data/TLM_2022-23_Barmah-Millewa/Big Bog_AM1/20221104_223000.WAV","Big Bog_AM1",2022-11-04,2022-11-04 22:30:00,0,1.5,-2,"Not a frog",0.999,0,0,0,0,0,0,0,"[0.999 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]"
